187	459	562	851	1055	1285	1498	1787	647
170	68	34	0	0	0	0	26	0
349	570	638	842	1004	1183	1404	1693	672
468	315	281	179	128	85	60	26	60
451	621	672	817	876	927	996	1098	689
434	502	519	570	596	630	655	681	655
417	519	553	655	689	749	800	859	630
477	391	366	298	264	221	196	145	196
502	400	366	289	247	196	153	111	145
306	264	264	221	204	179	179	145	179
417	451	451	485	502	519	536	536	621
434	391	383	340	323	298	289	264	298
383	400	400	417	434	434	451	451	570
417	383	374	349	332	315	306	289	315
434	451	451	468	477	485	485	485	655
400	383	383	357	349	332	332	315	357
349	366	366	374	374	374	374	383	536
357	357	349	340	323	323	323	315	366
323	340	340	340	340	340	340	357	519
408	408	408	391	383	391	391	391	468
374	391	425	391	391	391	391	391	383
